EVENT ID,EVENT DESCRIPTION,ATT&CK DATA SOURCE ID,ATT&CK DATA SOURCE,ATT&CK DATA COMPONENT,SOURCE,RELATIONSHIP,TARGET
role_remove,Triggered when an administrator removes a user from an SELinux role,DS0019,service,service_modification,process/user,modified,service
system_runlevel,Triggered when the system run level is changed,DS0013,sensor_health,host_status,process/user,modified,host_status
system_shutdown,Triggered when the system is shut down,DS0013,sensor_health,host_status,process/user,modified,host_status
tty,Triggered when TTY input was sent to an administrative process,DS0009,process,process_access,process/user,accessed,process
user_acct,Triggered when a user-space user authorization attempt is detected,DS0002,user_account,user_account_authentication,service,authorized,user
user_auth,Triggered when a user-space user authentication attempt is detected,DS0002,user_account,user_account_authentication,service,authenticates,user
user_avc,Triggered when a user-space AVC message is generated,DS0022,file,file_access,process/user,accessed,file
user_chauthtok,op record field contains value change password,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value changing password,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value change expired password,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value change age,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value change max age,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value change min age,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value change passwd warning,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value change inactive days,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value change passwd expiration,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value change last change date,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value change all aging information,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value password attribute change,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value password aging data updated,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value display aging info,DS0002,user_account,user_account_modification,process/user,accessed,user_account
user_chauthtok,op record field contains value password status display,DS0002,user_account,user_account_modification,process/user,accessed,user_account
user_chauthtok,op record field contains value password status displayed for user,DS0002,user_account,user_account_modification,process/user,accessed,user_account
user_chauthtok,op record field contains value adding to group,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value adding group member,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value adding user to group,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value adding user to shadow group,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value changing primary group,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value changing group member,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value changing admin name in shadow group,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value changing member in shadow group,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value deleting group password,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value deleting member,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value deleting user from group,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value deleting user from shadow group,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value removing group member,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value removing user from shadow group,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value user lookup,DS0002,user_account,user_account_accessed,process/user,accessed,user_account
user_chauthtok,op record field contains value adding group,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value deleting group,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value adding user,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value adding home directory,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value deleting user entries,DS0002,user_account,user_account_deletion,process/user,deleted,user_account
user_chauthtok,op record field contains value deleting user not found,DS0002,user_account,user_account_deletion,process/user,errored,user_account
user_chauthtok,op record field contains value deleting user,DS0002,user_account,user_account_deletion,process/user,deleted,user_account
user_chauthtok,op record field contains value deleting user logged in,DS0002,user_account,user_account_deletion,process/user,deleted,user_account
user_chauthtok,op record field contains value deleting mail file,DS0022,file,file_deletion,process/user,deleted,file
user_chauthtok,op record field contains value deleting home directory,DS0002,user_account,user_account_deletion,process/user,modified,user_account
user_chauthtok,op record field contains value lock password,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value delete password,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value updating password,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value unlock password,DS0002,user_account,user_account_metadata,process/user,unlocked,user_account
user_chauthtok,op record field contains value changing name,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value changing uid,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value changing home directory,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value moving home directory,DS0002,user_account,user_account_access,process/user,modified,user_account
user_chauthtok,op record field contains value changing mail file name,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,op record field contains value changing mail file owner,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_chauthtok,Triggered when a user account password or PIN is modified,DS0002,user_account,user_account_modification,process/user,modified,user_account
user_cmd,Triggered when a user-space shell command is executed,DS0009,process,process_creation,user,created,process
user_end,Triggered when a user-space session is terminated,DS0028,logon_session,logon_session_metadata,service,terminated,logon_session
user_labeled_export,Triggered when an object is exported with an SELinux label,DS0022,file,file_metadata,service,modified,file
user_login,Triggered when a user logs in,DS0028,logon_session,logon_session_creation,service,created,logon
user_logout,Triggered when a user logs out,DS0028,logon_session,logon_session_metadata,service,terminated,logon
user_role_change,op record field contains add SELinux user record,DS0002,user_account,user_account_creation,process/suer,created,user
user_role_change,op record field contains delete SELinux user record,DS0002,user_account,user_account_deletion,process/user,deleted,user
user_role_change,any other USER_ROLE_CHANGE cases not specified above,DS0002,user_account,user_account_modification,process/user,modified,user
user_start,Triggered when a user-space session is started,DS0028,logon_session,logon_session_creation,service,created,logon_session
user_unlabeled_export,Triggered when an object is exported without an SELinux label,DS0022,file,file_metadata,process/user,modified,file
usys_config,Triggered when a user-space system configuration change is detected,DS0017,command,command_execution,process/user,modified,configuration
