name,ID,description,collection layers,platforms,created,modified,type,version,url
Firewall Disable,,Deactivation or stoppage of a cloud service (ex: Write/Delete entries within Azure Firewall Activity Logs),,,20 October 2021,,datacomponent,1.0,
Firewall Enumeration,,An extracted list of available firewalls and/or their associated settings/rules (ex: Azure Network Firewall CLI Show commands),,,20 October 2021,,datacomponent,1.0,
Firewall Metadata,,"Contextual data about a firewall and activity around it such as name, policy, or status",,,20 October 2021,,datacomponent,1.0,
Firewall Rule Modification,,"Changes made to a firewall rule, typically to allow/block specific network traffic (ex: Windows EID 4950 or Write/Delete entries within Azure Firewall Rule Collection Activity Logs)",,,20 October 2021,,datacomponent,1.0,
Firmware Modification,,"Changes made to firmware, including its settings and/or data, such as MBR (Master Boot Record) and VBR (Volume Boot Record)",,,20 October 2021,,datacomponent,1.0,
Group Enumeration,,An extracted list of available groups and/or their associated settings (ex: AWS list-groups),,,20 October 2021,,datacomponent,1.0,
Group Metadata,,"Contextual data about a group which describes group and activity around it, such as name, permissions, or user accounts within the group",,,20 October 2021,,datacomponent,1.0,
Group Modification,,"Changes made to a group, such as membership, name, or permissions (ex: Windows EID 4728 or 4732, AWS IAM UpdateGroup)",,,20 October 2021,,datacomponent,1.0,
Image Creation,,Initial construction of a virtual machine image (ex: Azure Compute Service Images PUT),,,20 October 2021,,datacomponent,1.0,
Image Deletion,,Removal of a virtual machine image (ex: Azure Compute Service Images DELETE),,,20 October 2021,,datacomponent,1.0,
Image Metadata,,"Contextual data about a virtual machine image such as name, resource group, state, or type",,,20 October 2021,,datacomponent,1.0,
Image Modification,,"Changes made to a virtual machine image, including setting and/or control data (ex: Azure Compute Service Images PATCH)",,,20 October 2021,,datacomponent,1.0,
Instance Creation,,Initial construction of a new instance (ex: instance.insert within GCP Audit Logs),,,20 October 2021,,datacomponent,1.0,
Instance Deletion,,Removal of an instance (ex: instance.delete within GCP Audit Logs),,,20 October 2021,,datacomponent,1.0,
Instance Enumeration,,An extracted list of instances within a cloud environment (ex: instance.list within GCP Audit Logs),,,20 October 2021,,datacomponent,1.0,
Instance Metadata,,"Contextual data about an instance and activity around it such as name, type, or status",,,20 October 2021,,datacomponent,1.0,
Instance Modification,,"Changes made to an instance, including its settings and/or control data (ex: instance.addResourcePolicies or instances.setMetadata within GCP Audit Logs)",,,20 October 2021,,datacomponent,1.0,
Instance Start,,Activation or invocation of an instance (ex: instance.start within GCP Audit Logs),,,20 October 2021,,datacomponent,1.0,
Instance Stop,,Deactivation or stoppage of an instance (ex: instance.stop within GCP Audit Logs),,,20 October 2021,,datacomponent,1.0,
Response Content,,Logged network traffic in response to a scan showing both protocol header and body values,,,20 October 2021,,datacomponent,1.0,
Response Metadata,,"Contextual data about an Internet-facing resource gathered from a scan, such as running services or ports",,,20 October 2021,,datacomponent,1.0,
Kernel Module Load,,"An object file that contains code to extend the running kernel of an OS, typically used to add support for new hardware (as device drivers) and/or filesystems, or for adding system calls",,,20 October 2021,,datacomponent,1.0,
Logon Session Creation,,"Initial construction of a successful new user logon following an authentication attempt. (e.g. Windows EID 4624, /var/log/utmp, or /var/log/wmtp)",,,20 October 2021,,datacomponent,1.1,
Logon Session Metadata,,"Contextual data about a logon session, such as username, logon type, access tokens (security context, user SIDs, logon identifiers, and logon SID), and any activity associated within it",,,20 October 2021,,datacomponent,1.0,
Malware Content,,"Code, strings, and other signatures that compromise a malicious payload",,,20 October 2021,,datacomponent,1.1,
Malware Metadata,,"Contextual data about a malicious payload, such as compilation times, file hashes, as well as watermarks or other identifiable configuration information",,,20 October 2021,,datacomponent,1.1,
Module Load,,"Attaching a module into the memory of a process/program, typically to access shared resources/features provided by the module (ex: Sysmon EID 7)",,,20 October 2021,,datacomponent,1.0,
Named Pipe Metadata,,"Contextual data about a named pipe on a system, including pipe name and creating process (ex: Sysmon EIDs 17-18)",,,20 October 2021,,datacomponent,1.0,
Network Share Access,,"Opening a network share, which makes the contents available to the requestor (ex: Windows EID 5140 or 5145)",,,20 October 2021,,datacomponent,1.0,
Network Connection Creation,,"Initial construction of a network connection, such as capturing socket information with a source/destination IP and port(s) (ex: Windows EID 5156, Sysmon EID 3, or Zeek conn.log)",,,20 October 2021,,datacomponent,1.1,
Network Traffic Content,,Logged network traffic data showing both protocol header and body values (ex: PCAP),,,20 October 2021,,datacomponent,1.0,
Network Traffic Flow,,"Summarized network packet data, with metrics, such as protocol headers and volume (ex: Netflow or Zeek http.log)",,,20 October 2021,,datacomponent,1.0,
Social Media,,"Established, compromised, or otherwise acquired social media personas",,,20 October 2021,,datacomponent,1.0,
Pod Creation,,Initial construction of a new pod (ex: kubectl apply|run),,,20 October 2021,,datacomponent,1.0,
Pod Enumeration,,An extracted list of pods within a cluster (ex: kubectl get pods),,,20 October 2021,,datacomponent,1.0,
Pod Modification,,"Changes made to a pod, including its settings and/or control data (ex: kubectl set|patch|edit)",,,20 October 2021,,datacomponent,1.0,
Os Api Execution,,Operating system function/method calls executed by a process,,,20 October 2021,,datacomponent,1.0,
Process Access,,"Opening of a process by another process, typically to read memory of the target process (ex: Sysmon EID 10)",,,20 October 2021,,datacomponent,1.0,
Process Creation,,"The initial construction of an executable managed by the OS, that may involve one or more tasks or threads. (e.g. Win EID 4688, Sysmon EID 1, cmd.exe > net use, etc.)",,,20 October 2021,,datacomponent,1.1,
Process Metadata,,"Contextual data about a running process, which may include information such as environment variables, image name, user/owner, etc.",,,20 October 2021,,datacomponent,1.0,
Process Modification,,"Changes made to a process, or its contents, typically to write and/or execute code in the memory of the target process (ex: Sysmon EID 8)",,,20 October 2021,,datacomponent,1.0,
Process Termination,,Exit of a running process (ex: Sysmon EID 5 or Windows EID 4689),,,20 October 2021,,datacomponent,1.0,
Scheduled Job Creation,,Initial construction of a new scheduled job (ex: Windows EID 4698 or /var/log cron logs),,,20 October 2021,,datacomponent,1.0,
Scheduled Job Metadata,,"Contextual data about a scheduled job, which may include information such as name, timing, command(s), etc.",,,20 October 2021,,datacomponent,1.0,
Scheduled Job Modification,,"Changes made to a scheduled job, such as modifications to the execution launch (ex: Windows EID 4702 or /var/log cron logs)",,,20 October 2021,,datacomponent,1.0,
Script Execution,,"The execution of a text file that contains code via the interpreter (e.g. Powershell, WMI, Windows EID 4104, etc.)",,,20 October 2021,,datacomponent,1.1,
Host Status,,"Logging, messaging, and other artifacts highlighting the health of host sensors (ex: metrics, errors, and/or exceptions from logging applications)",,,20 October 2021,,datacomponent,1.1,
Service Creation,,Initial construction of a new service/daemon (ex: Windows EID 4697 or /var/log daemon logs),,,20 October 2021,,datacomponent,1.0,
Service Metadata,,"Contextual data about a service/daemon, which may include information such as name, service executable, start type, etc.",,,20 October 2021,,datacomponent,1.0,
Service Modification,,"Changes made to a service/daemon, such as changes to name, description, and/or start type (ex: Windows EID 7040 or /var/log daemon logs)",,,20 October 2021,,datacomponent,1.0,
Snapshot Creation,,Initial construction of a new snapshot (ex: AWS create-snapshot),,,20 October 2021,,datacomponent,1.0,
Snapshot Deletion,,Removal of a snapshot (ex: AWS delete-snapshot),,,20 October 2021,,datacomponent,1.0,
Snapshot Enumeration,,An extracted list of snapshops within a cloud environment (ex: AWS describe-snapshots),,,20 October 2021,,datacomponent,1.0,
Snapshot Metadata,,"Contextual data about a snapshot, which may include information such as ID, type, and status",,,20 October 2021,,datacomponent,1.0,
Snapshot Modification,,"Changes made to a snapshop, such as metadata and control data (ex: AWS modify-snapshot-attribute)",,,20 October 2021,,datacomponent,1.0,
User Account Authentication,,"An attempt by a user to gain access to a network or computing resource, often by providing credentials (ex: Windows EID 4776 or /var/log/auth.log)",,,20 October 2021,,datacomponent,1.1,
User Account Creation,,Initial construction of a new account (ex: Windows EID 4720 or /etc/passwd logs),,,20 October 2021,,datacomponent,1.0,
User Account Deletion,,Removal of an account (ex: Windows EID 4726 or /var/log access/authentication logs),,,20 October 2021,,datacomponent,1.0,
User Account Metadata,,"Contextual data about an account, which may include a username, user ID, environmental data, etc.",,,20 October 2021,,datacomponent,1.0,
User Account Modification,,"Changes made to an account, such as permissions and/or membership in specific groups (ex: Windows EID 4738 or /var/log access/authentication logs)",,,20 October 2021,,datacomponent,1.0,
Volume Creation,,Initial construction of a cloud volume (ex: AWS create-volume),,,20 October 2021,,datacomponent,1.0,
Volume Deletion,,Removal of a a cloud volume (ex: AWS delete-volume),,,20 October 2021,,datacomponent,1.0,
Volume Enumeration,,An extracted list of available volumes within a cloud environment (ex: AWS describe-volumes),,,20 October 2021,,datacomponent,1.0,
Volume Metadata,,"Contextual data about a cloud volume and activity around it, such as id, type, state, and size",,,20 October 2021,,datacomponent,1.0,
Volume Modification,,"Changes made to a cloud volume, including its settings and control data (ex: AWS modify-volume)",,,20 October 2021,,datacomponent,1.0,
WMI Creation,,"Initial construction of a WMI object, such as a filter, consumer, subscription, binding, or provider (ex: Sysmon EIDs 19-21)",,,20 October 2021,,datacomponent,1.0,
Web Credential Creation,,Initial construction of new web credential material (ex: Windows EID 1200 or 4769),,,20 October 2021,,datacomponent,1.0,
Web Credential Usage,,An attempt by a user to gain access to a network or computing resource by providing web credentials (ex: Windows EID 1202),,,20 October 2021,,datacomponent,1.0,
Windows Registry Key Access,,"Opening a Registry Key, typically to read the associated value (ex: Windows EID 4656)",,,20 October 2021,,datacomponent,1.0,
Windows Registry Key Creation,,Initial construction of a new Registry Key (ex: Windows EID 4656 or Sysmon EID 12),,,20 October 2021,,datacomponent,1.0,
Windows Registry Key Deletion,,Removal of a Registry Key (ex: Windows EID 4658 or Sysmon EID 12),,,20 October 2021,,datacomponent,1.0,
Windows Registry Key Modification,,Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14),,,20 October 2021,,datacomponent,1.0,
